trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-11.330241925305787,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0,16,45
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-183.5001731337827,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0,31,79
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-213.6478575009931,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0,40,101
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-59.209581666820526,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0,42,97
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-137.78019537042883,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0,46,103
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,4,-59.490271428032834,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1,49,104
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,18,12.73313691082785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,50,102
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,16,-51.29520219597281,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1,51,103
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-194.57892427635724,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0,54,108
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-26.16949624659601,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0,58,112
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-35.157923099796555,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0,60,110
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,14,17.144076134574828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,60,110
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-39.3718387873208,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0,60,107
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,7.687479272055686,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1,60,104
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,10.07688492492913,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,60,104
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-58.01131170220367,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0,61,105
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-118.64931209776026,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0,63,107
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,22,9.40940958256115,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1,63,106
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,15.015217762091368,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,64,108
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,24,8.455092529606475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,64,108
1,True,"{'a': 0.0, 'e': 0.0}",25,0,22.76096039708652,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1,65,112
2,True,"{'a': 0.0, 'e': 0.0}",25,0,22.784394552546082,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0,65,112
3,True,"{'a': 0.0, 'e': 0.0}",25,2,33.20436436655099,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1,66,116
4,True,"{'a': 0.0, 'e': 0.0}",35,19,24.664860206414005,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,66,116
5,True,"{'a': 0.0, 'e': 0.0}",20,9,6.218861053225812,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,67,120
6,True,"{'a': 0.0, 'e': 0.0}",25,6,28.836213823340834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1,67,120
7,True,"{'a': 0.0, 'e': 0.0}",20,6,20.38707439358337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,69,128
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-9.421652251708796,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0,69,128
9,True,"{'a': 0.0, 'e': 0.0}",20,0,23.933067967452477,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,70,132
10,True,"{'a': 0.0, 'e': 0.0}",30,14,29.516536389792115,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,70,132
