trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.93083548330932,"{0: 13, 1: 6, 2: 7, 3: 2, 4: 2}",0,22,62
2,False,"{'a': 0.5, 'e': 0.9999555555555556}",30,0,-163.2636811122095,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0,32,80
3,False,"{'a': 0.5, 'e': 0.9999}",20,0,-34.71635570630887,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0,36,83
4,False,"{'a': 0.5, 'e': 0.9998222222222222}",25,0,-118.12998131569927,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0,42,94
5,False,"{'a': 0.5, 'e': 0.9997222222222222}",35,0,-129.3858884593012,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0,46,94
6,False,"{'a': 0.5, 'e': 0.9996}",20,0,-187.64944962401972,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0,50,101
7,False,"{'a': 0.5, 'e': 0.9994555555555555}",20,0,-158.21747877108675,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0,53,103
8,False,"{'a': 0.5, 'e': 0.9992888888888889}",25,0,-150.99297189876012,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0,54,104
9,False,"{'a': 0.5, 'e': 0.9991}",25,0,-180.2391844134673,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0,56,104
10,False,"{'a': 0.5, 'e': 0.9988888888888889}",25,0,-53.352021758121786,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0,61,114
11,False,"{'a': 0.5, 'e': 0.9986555555555555}",25,0,-86.39365108845782,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0,62,114
12,False,"{'a': 0.5, 'e': 0.9984}",20,0,-126.90913284800298,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0,66,120
13,False,"{'a': 0.5, 'e': 0.9981222222222222}",20,0,-38.51574416953152,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0,68,123
14,False,"{'a': 0.5, 'e': 0.9978222222222223}",30,0,-68.68534605014025,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0,73,137
15,False,"{'a': 0.5, 'e': 0.9975}",25,0,-233.95991429543804,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0,73,135
16,False,"{'a': 0.5, 'e': 0.9971555555555556}",20,0,-96.77489159533343,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0,73,133
17,False,"{'a': 0.5, 'e': 0.9967888888888888}",25,0,-220.23834266299767,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0,75,135
18,False,"{'a': 0.5, 'e': 0.9964}",20,0,-20.704843740696614,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0,76,137
19,False,"{'a': 0.5, 'e': 0.9959888888888889}",20,0,-110.51688043356529,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0,77,137
20,False,"{'a': 0.5, 'e': 0.9955555555555555}",20,9,-16.944302263124413,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1,77,136
21,False,"{'a': 0.5, 'e': 0.9951}",30,0,-154.45898039754343,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0,78,129
22,False,"{'a': 0.5, 'e': 0.9946222222222222}",25,4,-109.59517233403213,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 2}",1,78,126
23,False,"{'a': 0.5, 'e': 0.9941222222222222}",20,1,-26.951649061614503,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1,79,126
24,False,"{'a': 0.5, 'e': 0.9936}",20,0,-106.90474266161817,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0,80,127
25,False,"{'a': 0.5, 'e': 0.9930555555555556}",25,0,-120.44651893872874,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0,80,125
26,False,"{'a': 0.5, 'e': 0.9924888888888889}",20,0,-155.9253342755834,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0,82,129
27,False,"{'a': 0.5, 'e': 0.9919}",30,0,-61.869354629145256,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0,83,129
28,False,"{'a': 0.5, 'e': 0.9912888888888889}",25,0,-203.30893284639612,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0,83,127
29,False,"{'a': 0.5, 'e': 0.9906555555555555}",20,0,-175.89999636849177,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0,83,126
30,False,"{'a': 0.5, 'e': 0.99}",25,0,-237.66248032068592,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0,83,125
31,False,"{'a': 0.5, 'e': 0.9893222222222222}",20,13,-25.207435500721854,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1,83,124
32,False,"{'a': 0.5, 'e': 0.9886222222222222}",25,0,-138.13437383601556,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0,83,121
33,False,"{'a': 0.5, 'e': 0.9879}",25,0,-99.2416277436003,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0,83,118
