trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-95.75512202535808,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-191.54373309710925,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-127.42538312532334,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-23.709413394987457,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-84.01771404228448,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-195.24261803738816,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-136.3292897393141,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-177.7308853846371,"{0: 12, 1: 6, 2: 2, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-123.77893908219897,"{0: 13, 1: 4, 2: 4, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-115.31101453630689,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-195.87147331893232,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-222.44945783778977,"{0: 17, 1: 6, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-148.6727117274208,"{0: 24, 1: 1, 2: 5, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.96133222886661,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-160.1348424178032,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-205.0348530419171,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-140.089799771231,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-253.35512947124772,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-68.57280057940488,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-103.2416232358965,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,23,-12.349155933860908,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-180.3665144681389,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-83.66169767001985,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,8,-111.44605333034055,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-178.21214929471395,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.50439967391674,"{0: 14, 1: 0, 2: 2, 3: 4, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.24282992753028,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.48522496807475,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-183.62689152837854,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-49.29621417361164,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
